Catchment(13.2-13.3), -nan(ind), -nan(ind)
Catchment(13.3-13.4), -nan(ind), -nan(ind)
Catchment(13.4-13.5), -nan(ind), -nan(ind)
Catchment(13.5-13.6), -nan(ind), -nan(ind)
Catchment(13.6-13.7), -nan(ind), -nan(ind)
Catchment(13.7-13.8), -nan(ind), -nan(ind)
Catchment(13.8-13.9), -nan(ind), -nan(ind)
Catchment(13.9-13.10), -nan(ind), -nan(ind)
Catchment(14.1-14.2), -nan(ind), -nan(ind)
Catchment(14.2-14.3), -nan(ind), -nan(ind)
Catchment(14.3-14.4), -nan(ind), -nan(ind)
Catchment(14.4-14.5), -nan(ind), -nan(ind)
Catchment(14.5-14.6), -nan(ind), -nan(ind)
Catchment(15.1-15.2), -nan(ind), -nan(ind)
Catchment(15.2-15.3), -nan(ind), -nan(ind)
Catchment(15.3-15.4), -nan(ind), -nan(ind)
Catchment(15.4-15.5), -nan(ind), -nan(ind)
Catchment(15.5-15.6), -nan(ind), -nan(ind)
Catchment(16.0-16.1), -nan(ind), -nan(ind)
Catchment(16.1-16.2), -nan(ind), -nan(ind)
Catchment(16.2-16.3), -nan(ind), -nan(ind)
Catchment(16.3-16.4), -nan(ind), -nan(ind)
Catchment(16.4-16.5), -nan(ind), -nan(ind)
Catchment(17.0-17.1), -nan(ind), -nan(ind)
Catchment(17.1-17.2), -nan(ind), -nan(ind)
Catchment(17.2-17.3), -nan(ind), -nan(ind)
Catchment(17.3-17.4), -nan(ind), -nan(ind)
Catchment(18.0-18.1), -nan(ind), -nan(ind)
Catchment(18.1-18.2), -nan(ind), -nan(ind)
Catchment(18.2-18.3), -nan(ind), -nan(ind)
C(0.14-1.14), -nan(ind), -nan(ind)
C(0.15-1.15), -nan(ind), -nan(ind)
C(0.16-1.16), -nan(ind), -nan(ind)
C(0.17-1.17), -nan(ind), -nan(ind)
C(0.18-1.18), -nan(ind), -nan(ind)
C(0.19-1.19), -nan(ind), -nan(ind)
C(1.11-2.11), -nan(ind), -nan(ind)
C(1.14-2.14), -nan(ind), -nan(ind)
C(1.15-2.15), -nan(ind), -nan(ind)
C(1.16-2.16), -nan(ind), -nan(ind)
C(1.17-2.17), -nan(ind), -nan(ind)
C(1.18-2.18), -nan(ind), -nan(ind)
C(2.10-3.10), -nan(ind), -nan(ind)
C(2.11-3.11), -nan(ind), -nan(ind)
C(2.12-3.12), -nan(ind), -nan(ind)
C(2.13-3.13), -nan(ind), -nan(ind)
C(2.14-3.14), -nan(ind), -nan(ind)
C(2.15-3.15), -nan(ind), -nan(ind)
C(2.16-3.16), -nan(ind), -nan(ind)
C(2.17-3.17), -nan(ind), -nan(ind)
C(2.18-3.18), -nan(ind), -nan(ind)
C(3.10-4.10), -nan(ind), -nan(ind)
C(3.11-4.11), -nan(ind), -nan(ind)
C(3.12-4.12), -nan(ind), -nan(ind)
C(3.13-4.13), -nan(ind), -nan(ind)
C(3.14-4.14), -nan(ind), -nan(ind)
C(3.15-4.15), -nan(ind), -nan(ind)
C(3.16-4.16), -nan(ind), -nan(ind)
C(3.17-4.17), -nan(ind), -nan(ind)
C(3.18-4.18), -nan(ind), -nan(ind)
C(4.9-5.9), -nan(ind), -nan(ind)
C(4.10-5.10), -nan(ind), -nan(ind)
C(4.11-5.11), -nan(ind), -nan(ind)
C(4.12-5.12), -nan(ind), -nan(ind)
C(4.13-5.13), -nan(ind), -nan(ind)
C(4.14-5.14), -nan(ind), -nan(ind)
C(4.15-5.15), -nan(ind), -nan(ind)
C(4.16-5.16), -nan(ind), -nan(ind)
C(4.17-5.17), -nan(ind), -nan(ind)
C(5.9-6.9), -nan(ind), -nan(ind)
C(5.10-6.10), -nan(ind), -nan(ind)
C(5.11-6.11), -nan(ind), -nan(ind)
C(5.12-6.12), -nan(ind), -nan(ind)
C(5.13-6.13), -nan(ind), -nan(ind)
C(5.14-6.14), -nan(ind), -nan(ind)
C(5.15-6.15), -nan(ind), -nan(ind)
C(5.16-6.16), -nan(ind), -nan(ind)
C(6.7-7.7), -nan(ind), -nan(ind)
C(6.8-7.8), -nan(ind), -nan(ind)
C(6.9-7.9), -nan(ind), -nan(ind)
C(6.10-7.10), -nan(ind), -nan(ind)
C(6.11-7.11), -nan(ind), -nan(ind)
C(6.12-7.12), -nan(ind), -nan(ind)
C(6.13-7.13), -nan(ind), -nan(ind)
C(6.14-7.14), -nan(ind), -nan(ind)
C(6.15-7.15), -nan(ind), -nan(ind)
C(7.4-8.4), -nan(ind), -nan(ind)
C(7.5-8.5), -nan(ind), -nan(ind)
C(7.6-8.6), -nan(ind), -nan(ind)
C(7.7-8.7), -nan(ind), -nan(ind)
C(7.8-8.8), -nan(ind), -nan(ind)
C(7.9-8.9), -nan(ind), -nan(ind)
C(7.10-8.10), -nan(ind), -nan(ind)
C(7.11-8.11), -nan(ind), -nan(ind)
C(7.12-8.12), -nan(ind), -nan(ind)
C(7.13-8.13), -nan(ind), -nan(ind)
C(8.4-9.4), -nan(ind), -nan(ind)
C(8.5-9.5), -nan(ind), -nan(ind)
C(8.6-9.6), -nan(ind), -nan(ind)
C(8.7-9.7), -nan(ind), -nan(ind)
C(8.8-9.8), -nan(ind), -nan(ind)
C(8.9-9.9), -nan(ind), -nan(ind)
C(8.10-9.10), -nan(ind), -nan(ind)
C(8.11-9.11), -nan(ind), -nan(ind)
C(8.12-9.12), -nan(ind), -nan(ind)
C(9.4-10.4), -nan(ind), -nan(ind)
C(9.5-10.5), -nan(ind), -nan(ind)
C(9.6-10.6), -nan(ind), -nan(ind)
C(9.7-10.7), -nan(ind), -nan(ind)
C(9.8-10.8), -nan(ind), -nan(ind)
C(9.9-10.9), -nan(ind), -nan(ind)
C(9.10-10.10), -nan(ind), -nan(ind)
C(9.11-10.11), -nan(ind), -nan(ind)
C(9.12-10.12), -nan(ind), -nan(ind)
C(10.1-11.1), -nan(ind), -nan(ind)
C(10.2-11.2), -nan(ind), -nan(ind)
C(10.3-11.3), -nan(ind), -nan(ind)
C(10.4-11.4), -nan(ind), -nan(ind)
C(10.5-11.5), -nan(ind), -nan(ind)
C(10.6-11.6), -nan(ind), -nan(ind)
C(10.7-11.7), -nan(ind), -nan(ind)
C(10.8-11.8), -nan(ind), -nan(ind)
C(10.9-11.9), -nan(ind), -nan(ind)
C(10.10-11.10), -nan(ind), -nan(ind)
C(10.11-11.11), -nan(ind), -nan(ind)
C(11.1-12.1), -nan(ind), -nan(ind)
C(11.2-12.2), -nan(ind), -nan(ind)
C(11.3-12.3), -nan(ind), -nan(ind)
C(11.4-12.4), -nan(ind), -nan(ind)
C(11.5-12.5), -nan(ind), -nan(ind)
C(11.6-12.6), -nan(ind), -nan(ind)
C(11.7-12.7), -nan(ind), -nan(ind)
C(11.8-12.8), -nan(ind), -nan(ind)
C(11.9-12.9), -nan(ind), -nan(ind)
C(11.10-12.10), -nan(ind), -nan(ind)
C(11.11-12.11), -nan(ind), -nan(ind)
C(12.1-13.1), -nan(ind), -nan(ind)
C(12.2-13.2), -nan(ind), -nan(ind)
C(12.3-13.3), -nan(ind), -nan(ind)
C(12.4-13.4), -nan(ind), -nan(ind)
C(12.5-13.5), -nan(ind), -nan(ind)
C(12.6-13.6), -nan(ind), -nan(ind)
C(12.7-13.7), -nan(ind), -nan(ind)
C(12.8-13.8), -nan(ind), -nan(ind)
C(12.9-13.9), -nan(ind), -nan(ind)
