Block_name, x, y, z,z0,ks,theta_1,theta_5,theta_25,theta_50,theta_100,theta_200,theta_500,theta_1000,theta_2000,theta_5000,theta_10000
Soil(1.3.1),100,300,8,8,20,0.402522,0.412611,0.424756,0.427458,0.430795,0.432625,0.433181,0.433192,0.433192,0.433192,0.433192
Soil(1.3.2),100,300,9,9,20,0.401543,0.407713,0.414827,0.418242,0.421889,0.423955,0.424538,0.42455,0.42455,0.42455,0.42455
Soil(1.3.3),100,300,10,10,20,0.400121,0.400605,0.400151,0.405896,0.411213,0.413805,0.414548,0.414564,0.414564,0.414564,0.414564
Soil(1.3.4),100,300,11,11,20,0.391197,0.355984,0.301876,0.356515,0.390707,0.397873,0.399666,0.399702,0.399702,0.399702,0.399702
Soil(1.4.0),100,400,9,9,20,0.402957,0.414784,0.425396,0.42184,0.42186,0.423766,0.424533,0.42455,0.42455,0.42455,0.42455
Soil(1.4.1),100,400,10,10,20,0.402052,0.410262,0.415648,0.411143,0.411171,0.413582,0.414542,0.414564,0.414564,0.414564,0.414564
Soil(1.4.2),100,400,11,11,20,0.400924,0.404619,0.401414,0.390483,0.390573,0.397333,0.399651,0.399702,0.399702,0.399702,0.399702
Soil(1.4.3),100,400,12,12,20,0.398315,0.391577,0.315435,0.247169,0.247476,0.281354,0.297145,0.297495,0.297496,0.297496,0.297496
Soil(1.4.4),100,400,13,13,20,0.382743,0.313716,0.180371,0.157233,0.157315,0.167641,0.172853,0.17298,0.17298,0.17298,0.17298
Soil(2.0.0),200,0,2,2,20,0.40447,0.42235,0.458525,0.470818,0.478197,0.480356,0.480659,0.480663,0.480663,0.480663,0.480663
Soil(2.0.1),200,0,3,3,20,0.403657,0.418283,0.450636,0.463046,0.470471,0.472644,0.472948,0.472952,0.472952,0.472952,0.472952
Soil(2.0.2),200,0,4,4,20,0.402809,0.414045,0.442614,0.455211,0.462696,0.464885,0.465192,0.465196,0.465196,0.465196,0.465196
Soil(2.0.3),200,0,5,5,20,0.401892,0.409462,0.434396,0.447282,0.45486,0.457064,0.457374,0.457378,0.457378,0.457378,0.457378
Soil(2.0.4),200,0,6,6,20,0.400691,0.403457,0.425744,0.439195,0.446922,0.449161,0.449474,0.449478,0.449478,0.449478,0.449478
Soil(2.1.0),200,100,4,4,20,0.403521,0.417607,0.445773,0.456551,0.462962,0.4649,0.465192,0.465196,0.465196,0.465196,0.465196
Soil(2.1.1),200,100,5,5,20,0.402666,0.413331,0.437642,0.448643,0.455127,0.457079,0.457373,0.457378,0.457378,0.457378,0.457378
Soil(2.1.2),200,100,6,6,20,0.401727,0.408633,0.429208,0.44059,0.447195,0.449177,0.449474,0.449478,0.449478,0.449478,0.449478
Soil(2.1.3),200,100,7,7,20,0.400422,0.40211,0.420037,0.432307,0.439107,0.441141,0.441448,0.441452,0.441452,0.441452,0.441452
Soil(2.1.4),200,100,8,8,20,0.394173,0.370866,0.408044,0.423595,0.430782,0.432873,0.433188,0.433192,0.433192,0.433192,0.433192
Soil(2.2.0),200,200,6,6,20,0.403423,0.417114,0.436283,0.443262,0.447704,0.449196,0.449474,0.449478,0.449478,0.449478,0.449478
Soil(2.2.1),200,200,7,7,20,0.402563,0.412816,0.427805,0.435076,0.439625,0.441161,0.441447,0.441452,0.441452,0.441452,0.441452
Soil(2.2.2),200,200,8,8,20,0.401595,0.407974,0.418505,0.426518,0.431315,0.432893,0.433187,0.433192,0.433192,0.433192,0.433192
Soil(2.2.3),200,200,9,9,20,0.400207,0.401033,0.406094,0.417084,0.422475,0.424237,0.424545,0.42455,0.42455,0.42455,0.42455
Soil(2.2.4),200,200,10,10,20,0.392069,0.360346,0.356654,0.403927,0.412052,0.414163,0.414557,0.414564,0.414564,0.414564,0.414564
Soil(2.3.0),200,300,8,8,20,0.403353,0.416764,0.431509,0.430822,0.431979,0.432876,0.433186,0.433192,0.433192,0.433192,0.433192
Soil(2.3.1),200,300,9,9,20,0.40249,0.412451,0.422694,0.421919,0.423225,0.42422,0.424543,0.42455,0.42455,0.42455,0.42455
Soil(2.3.2),200,300,10,10,20,0.401501,0.407507,0.412262,0.411256,0.41294,0.414141,0.414555,0.414564,0.414564,0.414564,0.414564
Soil(2.3.3),200,300,11,11,20,0.400054,0.400269,0.393786,0.390841,0.395785,0.398683,0.399682,0.399702,0.399702,0.399702,0.399702
Soil(2.3.4),200,300,12,12,20,0.390509,0.352546,0.261976,0.248406,0.271192,0.290481,0.297353,0.297495,0.297496,0.297496,0.297496
Soil(2.4.0),200,400,10,10,20,0.402929,0.414643,0.424425,0.41858,0.414405,0.414112,0.414552,0.414564,0.414564,0.414564,0.414564
Soil(2.4.1),200,400,11,11,20,0.402022,0.41011,0.414453,0.406414,0.39932,0.398612,0.399674,0.399702,0.399702,0.399702,0.399702
Soil(2.4.2),200,400,12,12,20,0.40088,0.404398,0.39884,0.361718,0.294857,0.289997,0.297299,0.297495,0.297496,0.297496,0.297496
Soil(2.4.3),200,400,13,13,20,0.39809,0.390449,0.296341,0.203264,0.172029,0.170462,0.172909,0.17298,0.17298,0.17298,0.17298
Soil(2.4.4),200,400,14,14,20,0.382329,0.311643,0.173464,0.144445,0.134804,0.134303,0.135038,0.135058,0.135058,0.135058,0.135058
Soil(3.0.0),300,0,3,3,20,0.404257,0.421284,0.452833,0.463479,0.470766,0.472739,0.47295,0.472952,0.472952,0.472952,0.472952
Soil(3.0.1),300,0,4,4,20,0.403435,0.417174,0.444867,0.455648,0.462994,0.464982,0.465194,0.465196,0.465197,0.465196,0.465196
Soil(3.0.2),300,0,5,5,20,0.402576,0.412879,0.436705,0.447729,0.455159,0.457161,0.457376,0.457378,0.457378,0.457378,0.457378
Soil(3.0.3),300,0,6,6,20,0.401611,0.408055,0.42824,0.43965,0.447229,0.44926,0.449476,0.449478,0.449478,0.449478,0.449478
Soil(3.0.4),300,0,7,7,20,0.400233,0.401165,0.418898,0.431341,0.439141,0.441227,0.44145,0.441452,0.441452,0.441452,0.441452
Soil(3.1.0),300,100,5,5,20,0.403465,0.417327,0.440183,0.449258,0.455543,0.457213,0.457377,0.457378,0.457378,0.457378,0.457378
Soil(3.1.1),300,100,6,6,20,0.402608,0.413038,0.431877,0.441225,0.447621,0.449312,0.449477,0.449478,0.449478,0.449478,0.449478
Soil(3.1.2),300,100,7,7,20,0.401652,0.408258,0.423047,0.432959,0.439541,0.44128,0.441451,0.441452,0.441452,0.441452,0.441452
Soil(3.1.3),300,100,8,8,20,0.400299,0.401497,0.412509,0.424306,0.431228,0.433016,0.433191,0.433192,0.433192,0.433192,0.433192
Soil(3.1.4),300,100,9,9,20,0.392994,0.364972,0.391059,0.414252,0.422377,0.424366,0.424549,0.42455,0.42455,0.42455,0.42455
Soil(3.2.0),300,200,7,7,20,0.403388,0.416938,0.433301,0.436172,0.440383,0.441392,0.441452,0.441452,0.441452,0.441452,0.441452
Soil(3.2.1),300,200,8,8,20,0.402526,0.412632,0.424663,0.427666,0.432094,0.43313,0.433193,0.433192,0.433192,0.433192,0.433192
Soil(3.2.2),300,200,9,9,20,0.401548,0.40774,0.414708,0.418467,0.423355,0.424485,0.42455,0.42455,0.42455,0.42455,0.42455
Soil(3.2.3),300,200,10,10,20,0.40013,0.40065,0.399974,0.406249,0.413095,0.414481,0.414564,0.414564,0.414564,0.414564,0.414564
Soil(3.2.4),300,200,11,11,20,0.391288,0.35644,0.299874,0.359984,0.396158,0.399503,0.399704,0.399702,0.399702,0.399702,0.399702
Soil(3.3.0),300,300,9,9,20,0.40332,0.416599,0.430093,0.426548,0.42507,0.424682,0.424553,0.42455,0.42455,0.42455,0.42455
Soil(3.3.1),300,300,10,10,20,0.402456,0.412278,0.421118,0.417123,0.415229,0.414733,0.414567,0.414564,0.414564,0.414564,0.414564
Soil(3.3.2),300,300,11,11,20,0.401457,0.407286,0.410098,0.40399,0.400887,0.400076,0.399711,0.399702,0.399702,0.399702,0.399702
Soil(3.3.3),300,300,12,12,20,0.399973,0.399864,0.385508,0.33966,0.308642,0.300332,0.297559,0.297496,0.297496,0.297496,0.297496
Soil(3.3.4),300,300,13,13,20,0.389771,0.348856,0.237086,0.190037,0.176956,0.173995,0.173003,0.17298,0.17298,0.17298,0.17298
Soil(3.4.0),300,400,11,11,20,0.4029,0.414499,0.423483,0.416137,0.406823,0.400814,0.399722,0.399702,0.399702,0.399702,0.399702
Soil(3.4.1),300,400,12,12,20,0.401991,0.409954,0.413214,0.402378,0.365727,0.307898,0.297633,0.297496,0.297496,0.297496,0.297496
Soil(3.4.2),300,400,13,13,20,0.400835,0.404173,0.395614,0.323875,0.206381,0.176697,0.173029,0.17298,0.17298,0.17298,0.17298
Soil(3.4.3),300,400,14,14,20,0.397802,0.389009,0.278958,0.182957,0.145348,0.136127,0.135072,0.135058,0.135058,0.135058,0.135058
